state,NAME,test_per_100k
AK,Alaska,1315.391511
AL,Alabama,867.9830853
AR,Arkansas,796.4793671
AZ,Arizona,691.8078405
CA,California,650.1810867
CO,Colorado,763.0793191
CT,Connecticut,1633.784507
DC,District of Columbia,1841.021137
DE,Delaware,1505.145514
FL,Florida,1142.882606
GA,Georgia,692.8054326
HI,Hawaii,1660.665101
IA,Iowa,721.63804
ID,Idaho,923.7436451
IL,Illinois,1085.366915
IN,Indiana,843.1432954
KS,Kansas,607.3481707
KY,Kentucky,716.1601283
LA,Louisiana,2970.797282
MA,Massachusetts,2247.600084
MD,Maryland,1074.613734
ME,Maine,1108.865425
MI,Michigan,1035.576901
MN,Minnesota,776.5401652
MO,Missouri,871.3996956
MS,Mississippi,1296.809244
MT,Montana,972.5247272
NC,North Carolina,718.1680274
ND,North Dakota,1701.799736
NE,Nebraska,746.4521118
NH,New Hampshire,978.9636579
NJ,New Jersey,1818.773056
NM,New Mexico,1747.176435
NV,Nevada,979.4378878
NY,New York,3068.506218
OH,Ohio,670.4124231
OK,Oklahoma,898.548885
OR,Oregon,873.8019604
PA,Pennsylvania,1200.892794
RI,Rhode Island,3108.048868
SC,South Carolina,745.3414957
SD,South Dakota,1291.212777
TN,Tennessee,1313.301948
TX,Texas,597.9819352
UT,Utah,1826.383292
VA,Virginia,602.0143036
VT,Vermont,2000.761073
WA,Washington,1740.468726
WI,Wisconsin,823.0181925
WV,West Virginia,1113.229513
WY,Wyoming,1284.070367
